Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
CLE,AL,1975,703,79,0.327,0.392,0.261,0,,,159,,,688
DET,AL,1975,786,57,0.301,0.366,0.249,0,,,159,,,570
HOU,NL,1975,711,64,0.32,0.359,0.254,0,,,162,,,664
KCR,AL,1975,649,91,0.33299999999999996,0.39399999999999996,0.261,0,,,162,,,710
LAD,NL,1975,534,88,0.325,0.365,0.248,0,,,162,,,648
MIL,AL,1975,792,68,0.32,0.389,0.25,0,,,162,,,675
MIN,AL,1975,736,76,0.341,0.386,0.271,0,,,159,,,724
MON,NL,1975,690,75,0.317,0.348,0.244,0,,,162,,,601
NYM,NL,1975,625,82,0.319,0.361,0.256,0,,,162,,,646
NYY,AL,1975,588,83,0.325,0.382,0.264,0,,,160,,,681
OAK,AL,1975,606,98,0.33299999999999996,0.391,0.254,1,2,3,162,,,758
PHI,NL,1975,694,86,0.342,0.402,0.26899999999999996,0,,,162,,,735
PIT,NL,1975,565,92,0.32299999999999995,0.402,0.263,1,4,3,161,,,712
SDP,NL,1975,683,71,0.31,0.335,0.244,0,,,162,,,552
SFG,NL,1975,671,80,0.33299999999999996,0.365,0.259,0,,,161,,,659
STL,NL,1975,689,82,0.327,0.375,0.273,0,,,163,,,662
TEX,AL,1975,733,79,0.33,0.371,0.256,0,,,162,,,714
ATL,NL,1974,563,88,0.319,0.363,0.249,0,,,163,,,661
BAL,AL,1974,612,91,0.322,0.37,0.256,1,2,3,162,,,659
BOS,AL,1974,661,84,0.33299999999999996,0.377,0.264,0,,,162,,,696
CAL,AL,1974,657,68,0.321,0.35600000000000004,0.254,0,,,163,,,618
CHC,NL,1974,826,66,0.327,0.365,0.251,0,,,162,,,669
CHW,AL,1974,721,80,0.33,0.389,0.268,0,,,163,,,684
CIN,NL,1974,631,98,0.34299999999999997,0.39399999999999996,0.26,0,,,163,,,776
CLE,AL,1974,694,77,0.311,0.37,0.255,0,,,162,,,662
DET,AL,1974,768,72,0.303,0.366,0.247,0,,,162,,,620
HOU,NL,1974,632,81,0.322,0.37799999999999995,0.263,0,,,162,,,653
KCR,AL,1974,662,77,0.327,0.364,0.259,0,,,162,,,667
LAD,NL,1974,561,102,0.342,0.401,0.272,1,1,2,162,,,798
MIL,AL,1974,660,76,0.309,0.369,0.244,0,,,162,,,647
MIN,AL,1974,669,82,0.336,0.37799999999999995,0.272,0,,,163,,,673
MON,NL,1974,657,79,0.335,0.35,0.254,0,,,161,,,662
NYM,NL,1974,646,71,0.311,0.32899999999999996,0.235,0,,,162,,,572
NYY,AL,1974,623,89,0.324,0.368,0.263,0,,,162,,,671
OAK,AL,1974,551,90,0.321,0.373,0.247,1,3,1,162,,,689
PHI,NL,1974,701,80,0.32,0.373,0.261,0,,,162,,,676
PIT,NL,1974,657,88,0.335,0.391,0.27399999999999997,1,4,3,162,,,751
SDP,NL,1974,830,60,0.302,0.33,0.22899999999999998,0,,,162,,,541
SFG,NL,1974,723,72,0.322,0.358,0.252,0,,,162,,,634
STL,NL,1974,643,86,0.331,0.365,0.265,0,,,161,,,677
TEX,AL,1974,698,83,0.336,0.377,0.272,0,,,161,,,690
ATL,NL,1973,774,76,0.33899999999999997,0.42700000000000005,0.266,0,,,162,,,799
BAL,AL,1973,561,97,0.345,0.389,0.266,1,2,3,162,,,754
BOS,AL,1973,647,89,0.33799999999999997,0.401,0.267,0,,,162,,,738
CAL,AL,1973,657,79,0.318,0.348,0.253,0,,,162,,,629
CHC,NL,1973,655,77,0.32,0.35700000000000004,0.247,0,,,161,,,614
CHW,AL,1973,705,77,0.324,0.37200000000000005,0.256,0,,,162,,,652
CIN,NL,1973,621,99,0.332,0.38299999999999995,0.254,1,1,3,162,,,741
CLE,AL,1973,826,71,0.315,0.387,0.256,0,,,162,,,680
DET,AL,1973,674,85,0.32,0.39,0.254,0,,,162,,,642
HOU,NL,1973,672,82,0.312,0.376,0.251,0,,,162,,,681
KCR,AL,1973,752,88,0.33899999999999997,0.381,0.261,0,,,162,,,755
LAD,NL,1973,565,95,0.32299999999999995,0.371,0.263,0,,,162,,,675
MIL,AL,1973,731,74,0.325,0.38799999999999996,0.253,0,,,162,,,708
MIN,AL,1973,692,81,0.342,0.39299999999999996,0.27,0,,,162,,,738
MON,NL,1973,702,79,0.34,0.364,0.251,0,,,162,,,668
NYM,NL,1973,588,82,0.315,0.33799999999999997,0.24600000000000002,1,4,2,161,,,608
NYY,AL,1973,610,80,0.322,0.37799999999999995,0.261,0,,,162,,,641
OAK,AL,1973,615,94,0.33299999999999996,0.389,0.26,1,3,1,162,,,758
PHI,NL,1973,717,71,0.31,0.371,0.249,0,,,162,,,642
PIT,NL,1973,693,80,0.315,0.405,0.261,0,,,162,,,704
SDP,NL,1973,770,60,0.29600000000000004,0.35100000000000003,0.244,0,,,162,,,548
SFG,NL,1973,702,88,0.335,0.40700000000000003,0.262,0,,,162,,,739
STL,NL,1973,603,81,0.325,0.35700000000000004,0.259,0,,,162,,,643
TEX,AL,1973,844,57,0.318,0.361,0.255,0,,,162,,,619
ATL,NL,1971,699,82,0.312,0.385,0.257,0,,,162,,,643
BAL,AL,1971,530,101,0.34700000000000003,0.39799999999999996,0.261,1,1,2,158,,,742
BOS,AL,1971,667,85,0.322,0.397,0.252,0,,,162,,,691
CAL,AL,1971,576,76,0.29,0.32899999999999996,0.231,0,,,162,,,511
CHC,NL,1971,648,83,0.325,0.37799999999999995,0.258,0,,,162,,,637
CHW,AL,1971,597,79,0.325,0.373,0.25,0,,,162,,,617
CIN,NL,1971,581,79,0.3,0.366,0.24100000000000002,0,,,162,,,586
CLE,AL,1971,747,60,0.3,0.342,0.23800000000000002,0,,,162,,,543
DET,AL,1971,645,91,0.325,0.405,0.254,0,,,162,,,701
HOU,NL,1971,567,79,0.302,0.34,0.24,0,,,162,,,585
KCR,AL,1971,566,85,0.313,0.353,0.25,0,,,161,,,603
LAD,NL,1971,587,89,0.325,0.37,0.266,0,,,162,,,663
MIL,AL,1971,609,69,0.304,0.32899999999999996,0.22899999999999998,0,,,161,,,534
MIN,AL,1971,670,74,0.32299999999999995,0.37200000000000005,0.26,0,,,160,,,654
MON,NL,1971,729,71,0.322,0.34299999999999997,0.24600000000000002,0,,,162,,,622
NYM,NL,1971,550,83,0.319,0.35100000000000003,0.249,0,,,162,,,588
NYY,AL,1971,641,81,0.32799999999999996,0.36,0.254,0,,,162,,,648
OAK,AL,1971,564,101,0.321,0.384,0.252,1,1,3,161,,,691
PHI,NL,1971,688,67,0.298,0.35,0.233,0,,,162,,,558
PIT,NL,1971,599,97,0.33,0.41600000000000004,0.27399999999999997,1,2,1,162,,,788
SDP,NL,1971,610,61,0.293,0.332,0.233,0,,,161,,,486
SFG,NL,1971,644,90,0.32899999999999996,0.37799999999999995,0.247,1,3,3,162,,,706
STL,NL,1971,699,90,0.33799999999999997,0.385,0.275,0,,,163,,,739
WSA,AL,1971,660,63,0.307,0.326,0.23,0,,,159,,,537
ATL,NL,1970,772,76,0.33399999999999996,0.40399999999999997,0.27,0,,,162,,,736
BAL,AL,1970,574,108,0.344,0.401,0.257,1,1,1,162,,,792
BOS,AL,1970,722,87,0.335,0.428,0.262,0,,,162,,,786
CAL,AL,1970,630,86,0.309,0.363,0.251,0,,,162,,,631
CHC,NL,1970,679,84,0.33299999999999996,0.415,0.259,0,,,162,,,806
CHW,AL,1970,822,56,0.315,0.36200000000000004,0.253,0,,,162,,,633
CIN,NL,1970,681,102,0.336,0.436,0.27,1,2,2,162,,,775
CLE,AL,1970,675,76,0.314,0.39399999999999996,0.249,0,,,162,,,649
DET,AL,1970,731,79,0.322,0.374,0.23800000000000002,0,,,162,,,666
HOU,NL,1970,763,79,0.332,0.391,0.259,0,,,162,,,744
KCR,AL,1970,705,65,0.309,0.348,0.244,0,,,162,,,611
LAD,NL,1970,684,87,0.33399999999999996,0.382,0.27,0,,,161,,,749
MIL,AL,1970,751,65,0.319,0.358,0.242,0,,,163,,,613
MIN,AL,1970,605,98,0.327,0.40299999999999997,0.262,1,3,3,162,,,744
MON,NL,1970,807,73,0.32299999999999995,0.365,0.237,0,,,162,,,687
NYM,NL,1970,630,83,0.33299999999999996,0.37,0.249,0,,,162,,,695
NYY,AL,1970,612,93,0.324,0.365,0.251,0,,,163,,,680
OAK,AL,1970,593,89,0.325,0.392,0.249,0,,,162,,,678
PHI,NL,1970,730,73,0.305,0.35600000000000004,0.23800000000000002,0,,,161,,,594
PIT,NL,1970,664,89,0.325,0.406,0.27,1,4,3,162,,,729
SDP,NL,1970,788,63,0.312,0.391,0.24600000000000002,0,,,162,,,681
SFG,NL,1970,826,86,0.35100000000000003,0.409,0.262,0,,,162,,,831
STL,NL,1970,747,76,0.331,0.379,0.263,0,,,162,,,744
WSA,AL,1970,689,70,0.321,0.358,0.23800000000000002,0,,,162,,,626
ATL,NL,1969,631,93,0.321,0.38,0.258,1,4,3,162,,,691
BAL,AL,1969,517,109,0.34299999999999997,0.414,0.265,1,1,2,162,,,779
BOS,AL,1969,736,87,0.33299999999999996,0.415,0.251,0,,,162,,,743
CAL,AL,1969,652,71,0.3,0.319,0.23,0,,,163,,,528
CHC,NL,1969,611,92,0.32299999999999995,0.384,0.253,0,,,163,,,720
CHW,AL,1969,723,68,0.32,0.35700000000000004,0.247,0,,,162,,,625
CIN,NL,1969,768,89,0.335,0.42200000000000004,0.27699999999999997,0,,,163,,,798
CLE,AL,1969,717,62,0.307,0.345,0.237,0,,,161,,,573
DET,AL,1969,601,90,0.316,0.387,0.242,0,,,162,,,701
HOU,NL,1969,668,81,0.33,0.35200000000000004,0.24,0,,,162,,,676
KCR,AL,1969,688,69,0.309,0.33799999999999997,0.24,0,,,163,,,586
LAD,NL,1969,561,85,0.315,0.359,0.254,0,,,162,,,645
MIN,AL,1969,618,97,0.34,0.408,0.268,1,3,3,162,,,790
MON,NL,1969,791,52,0.31,0.359,0.24,0,,,162,,,582
NYM,NL,1969,541,100,0.311,0.35100000000000003,0.242,1,2,1,162,,,632
NYY,AL,1969,587,80,0.308,0.344,0.235,0,,,162,,,562
OAK,AL,1969,678,88,0.32899999999999996,0.376,0.249,0,,,162,,,740
PHI,NL,1969,745,63,0.312,0.37200000000000005,0.24100000000000002,0,,,162,,,645
PIT,NL,1969,652,88,0.33399999999999996,0.39799999999999996,0.27699999999999997,0,,,162,,,725
SDP,NL,1969,746,52,0.285,0.32899999999999996,0.225,0,,,162,,,468
SEP,AL,1969,799,64,0.316,0.34600000000000003,0.23399999999999999,0,,,163,,,639
SFG,NL,1969,636,90,0.33399999999999996,0.361,0.242,0,,,162,,,713
STL,NL,1969,540,87,0.316,0.359,0.253,0,,,162,,,595
WSA,AL,1969,644,86,0.33,0.37799999999999995,0.251,0,,,162,,,694
ATL,NL,1968,549,81,0.307,0.33899999999999997,0.252,0,,,163,,,514
BAL,AL,1968,497,91,0.304,0.35200000000000004,0.225,0,,,162,,,579
BOS,AL,1968,611,86,0.313,0.35200000000000004,0.23600000000000002,0,,,162,,,614
CAL,AL,1968,615,67,0.29100000000000004,0.318,0.22699999999999998,0,,,162,,,498
CHC,NL,1968,611,84,0.298,0.366,0.242,0,,,163,,,612
CHW,AL,1968,527,67,0.284,0.311,0.228,0,,,162,,,463
CIN,NL,1968,673,83,0.32,0.389,0.273,0,,,163,,,690
CLE,AL,1968,504,86,0.293,0.327,0.23399999999999999,0,,,162,,,516
DET,AL,1968,492,103,0.307,0.385,0.235,1,1,1,164,,,671
HOU,NL,1968,588,72,0.298,0.317,0.231,0,,,162,,,510
LAD,NL,1968,509,76,0.289,0.319,0.23,0,,,162,,,470
MIN,AL,1968,546,79,0.299,0.35,0.237,0,,,162,,,562
NYM,NL,1968,499,73,0.281,0.315,0.228,0,,,163,,,473
NYY,AL,1968,531,83,0.292,0.318,0.214,0,,,164,,,536
OAK,AL,1968,544,82,0.304,0.34299999999999997,0.24,0,,,163,,,569
PHI,NL,1968,615,76,0.294,0.33299999999999996,0.233,0,,,162,,,543
PIT,NL,1968,532,80,0.306,0.34299999999999997,0.252,0,,,163,,,583
SFG,NL,1968,529,88,0.307,0.341,0.239,0,,,163,,,599
STL,NL,1968,472,97,0.298,0.34600000000000003,0.249,1,2,2,162,,,583
WSA,AL,1968,665,65,0.287,0.336,0.22399999999999998,0,,,161,,,524
ATL,NL,1967,640,77,0.307,0.37200000000000005,0.24,0,,,162,,,631
BAL,AL,1967,592,76,0.31,0.37200000000000005,0.24,0,,,161,,,654
BOS,AL,1967,614,92,0.321,0.395,0.255,1,2,2,162,,,722
CAL,AL,1967,587,84,0.301,0.349,0.23800000000000002,0,,,161,,,567
CHC,NL,1967,624,87,0.316,0.37799999999999995,0.251,0,,,162,,,702
CHW,AL,1967,491,89,0.29100000000000004,0.32,0.225,0,,,162,,,531
CIN,NL,1967,563,87,0.297,0.37200000000000005,0.248,0,,,162,,,604
CLE,AL,1967,613,75,0.293,0.359,0.235,0,,,162,,,559
DET,AL,1967,587,91,0.325,0.376,0.243,0,,,163,,,683
HOU,NL,1967,742,69,0.317,0.364,0.249,0,,,162,,,626
KCA,AL,1967,660,62,0.29600000000000004,0.33,0.233,0,,,161,,,533
LAD,NL,1967,595,73,0.301,0.332,0.23600000000000002,0,,,162,,,519
MIN,AL,1967,590,91,0.309,0.369,0.24,0,,,164,,,671
NYM,NL,1967,672,61,0.28800000000000003,0.325,0.23800000000000002,0,,,162,,,498
NYY,AL,1967,621,72,0.29600000000000004,0.317,0.225,0,,,163,,,522
PHI,NL,1967,581,82,0.313,0.35700000000000004,0.242,0,,,162,,,612
PIT,NL,1967,693,81,0.324,0.38,0.27699999999999997,0,,,163,,,679
SFG,NL,1967,551,91,0.313,0.37200000000000005,0.245,0,,,162,,,652
STL,NL,1967,557,101,0.32,0.379,0.263,1,1,1,161,,,695
WSA,AL,1967,637,76,0.28800000000000003,0.326,0.223,0,,,161,,,550
ATL,NL,1966,683,85,0.326,0.424,0.263,0,,,163,,,782
BAL,AL,1966,601,97,0.324,0.409,0.258,1,1,1,160,,,755
BOS,AL,1966,731,72,0.31,0.376,0.24,0,,,162,,,655
CAL,AL,1966,643,80,0.303,0.354,0.23199999999999998,0,,,162,,,604
CHC,NL,1966,809,59,0.313,0.38,0.254,0,,,162,,,644
CHW,AL,1966,517,83,0.297,0.331,0.231,0,,,163,,,574
CIN,NL,1966,702,76,0.309,0.395,0.26,0,,,160,,,692
CLE,AL,1966,586,81,0.297,0.36,0.237,0,,,162,,,574
DET,AL,1966,698,88,0.321,0.406,0.251,0,,,162,,,719
HOU,NL,1966,695,72,0.318,0.365,0.255,0,,,163,,,612
KCA,AL,1966,648,74,0.294,0.337,0.23600000000000002,0,,,160,,,564
LAD,NL,1966,490,95,0.314,0.36200000000000004,0.256,1,2,2,162,,,606
MIN,AL,1966,581,89,0.316,0.382,0.249,0,,,162,,,663
NYM,NL,1966,761,66,0.301,0.342,0.239,0,,,161,,,587
NYY,AL,1966,612,70,0.299,0.374,0.235,0,,,160,,,611
PHI,NL,1966,640,87,0.322,0.37799999999999995,0.258,0,,,162,,,696
PIT,NL,1966,641,92,0.32899999999999996,0.428,0.27899999999999997,0,,,162,,,759
SFG,NL,1966,626,93,0.303,0.392,0.248,0,,,161,,,675
STL,NL,1966,577,83,0.298,0.368,0.251,0,,,162,,,571
WSA,AL,1966,659,71,0.295,0.355,0.23399999999999999,0,,,159,,,557
BAL,AL,1965,578,94,0.307,0.363,0.23800000000000002,0,,,162,,,641
BOS,AL,1965,791,62,0.327,0.4,0.251,0,,,162,,,669
CAL,AL,1965,569,75,0.297,0.341,0.239,0,,,162,,,527
CHC,NL,1965,723,72,0.307,0.358,0.23800000000000002,0,,,164,,,635
CHW,AL,1965,555,95,0.315,0.364,0.24600000000000002,0,,,162,,,647
CIN,NL,1965,704,89,0.33899999999999997,0.439,0.273,0,,,162,,,825
CLE,AL,1965,613,87,0.315,0.379,0.25,0,,,162,,,663
DET,AL,1965,602,89,0.312,0.374,0.23800000000000002,0,,,162,,,680
HOU,NL,1965,711,65,0.305,0.34,0.237,0,,,162,,,569
KCA,AL,1965,755,59,0.309,0.358,0.24,0,,,162,,,585
LAD,NL,1965,521,97,0.312,0.335,0.245,1,2,1,162,,,608
MIN,AL,1965,600,102,0.324,0.39899999999999997,0.254,1,1,2,162,,,774
MLN,NL,1965,633,86,0.31,0.41600000000000004,0.256,0,,,162,,,708
NYM,NL,1965,752,50,0.27699999999999997,0.327,0.221,0,,,164,,,495
NYY,AL,1965,604,77,0.299,0.364,0.235,0,,,162,,,611
PHI,NL,1965,667,85,0.313,0.384,0.25,0,,,162,,,654
PIT,NL,1965,580,90,0.317,0.382,0.265,0,,,163,,,675
SFG,NL,1965,593,95,0.313,0.385,0.252,0,,,163,,,682
STL,NL,1965,674,80,0.314,0.371,0.254,0,,,162,,,707
WSA,AL,1965,721,70,0.304,0.35,0.228,0,,,162,,,591
BAL,AL,1964,567,97,0.316,0.387,0.248,0,,,163,,,679
BOS,AL,1964,793,72,0.322,0.41600000000000004,0.258,0,,,162,,,688
CHC,NL,1964,724,76,0.314,0.39,0.251,0,,,162,,,649
CHW,AL,1964,501,98,0.32,0.353,0.247,0,,,162,,,642
CIN,NL,1964,566,92,0.308,0.37200000000000005,0.249,0,,,163,,,660
CLE,AL,1964,693,79,0.312,0.38,0.247,0,,,164,,,689
DET,AL,1964,678,85,0.319,0.395,0.253,0,,,163,,,699
HOU,NL,1964,628,66,0.285,0.315,0.22899999999999998,0,,,162,,,495
KCA,AL,1964,836,57,0.311,0.379,0.239,0,,,163,,,621
LAA,AL,1964,551,82,0.304,0.344,0.242,0,,,162,,,544
LAD,NL,1964,572,80,0.305,0.34,0.25,0,,,164,,,614
MIN,AL,1964,678,79,0.322,0.42700000000000005,0.252,0,,,163,,,737
MLN,NL,1964,744,88,0.33299999999999996,0.418,0.272,0,,,162,,,803
NYM,NL,1964,776,53,0.29600000000000004,0.348,0.24600000000000002,0,,,163,,,569
NYY,AL,1964,577,99,0.317,0.387,0.253,1,1,2,164,,,730
PHI,NL,1964,632,92,0.315,0.391,0.258,0,,,162,,,693
PIT,NL,1964,636,80,0.315,0.389,0.264,0,,,162,,,663
SFG,NL,1964,587,90,0.31,0.382,0.24600000000000002,0,,,162,,,656
STL,NL,1964,652,93,0.324,0.392,0.272,1,2,1,162,,,715
WSA,AL,1964,733,62,0.299,0.348,0.231,0,,,162,,,578
BAL,AL,1963,621,86,0.31,0.38,0.249,0,,,162,,,644
BOS,AL,1963,704,76,0.312,0.4,0.252,0,,,161,,,666
CHC,NL,1963,578,82,0.297,0.363,0.23800000000000002,0,,,162,,,570
CHW,AL,1963,544,94,0.32299999999999995,0.365,0.25,0,,,162,,,683
CIN,NL,1963,594,86,0.31,0.371,0.24600000000000002,0,,,162,,,648
CLE,AL,1963,702,79,0.301,0.381,0.239,0,,,162,,,635
DET,AL,1963,703,79,0.327,0.382,0.252,0,,,162,,,700
HOU,NL,1963,640,66,0.28300000000000003,0.301,0.22,0,,,162,,,464
KCA,AL,1963,704,73,0.313,0.353,0.247,0,,,162,,,615
LAA,AL,1963,660,70,0.309,0.354,0.25,0,,,161,,,597
LAD,NL,1963,550,99,0.309,0.35700000000000004,0.251,1,2,1,163,,,640
MIN,AL,1963,602,91,0.325,0.43,0.255,0,,,161,,,767
MLN,NL,1963,603,84,0.312,0.37,0.244,0,,,163,,,677
NYM,NL,1963,774,51,0.285,0.315,0.21899999999999997,0,,,162,,,501
NYY,AL,1963,547,104,0.309,0.40299999999999997,0.252,1,1,2,161,,,714
PHI,NL,1963,578,87,0.306,0.381,0.252,0,,,162,,,642
PIT,NL,1963,595,74,0.309,0.359,0.25,0,,,162,,,567
SFG,NL,1963,641,88,0.316,0.414,0.258,0,,,162,,,725
STL,NL,1963,628,93,0.326,0.40299999999999997,0.271,0,,,162,,,747
WSA,AL,1963,812,56,0.293,0.35100000000000003,0.22699999999999998,0,,,162,,,578
BAL,AL,1962,680,77,0.314,0.387,0.248,0,,,162,,,652
BOS,AL,1962,756,76,0.324,0.40299999999999997,0.258,0,,,160,,,707
CHC,NL,1962,827,59,0.317,0.377,0.253,0,,,162,,,632
CHW,AL,1962,658,85,0.33399999999999996,0.37200000000000005,0.257,0,,,162,,,707
CIN,NL,1962,685,98,0.332,0.41700000000000004,0.27,0,,,162,,,802
CLE,AL,1962,745,80,0.312,0.38799999999999996,0.245,0,,,162,,,682
DET,AL,1962,692,85,0.33,0.41100000000000003,0.248,0,,,161,,,758
HOU,NL,1962,717,64,0.31,0.35100000000000003,0.24600000000000002,0,,,162,,,592
KCA,AL,1962,837,72,0.332,0.386,0.263,0,,,162,,,745
LAA,AL,1962,706,86,0.325,0.38,0.25,0,,,162,,,718
LAD,NL,1962,697,102,0.337,0.4,0.268,0,,,165,,,842
MIN,AL,1962,713,91,0.33799999999999997,0.41200000000000003,0.26,0,,,163,,,798
MLN,NL,1962,665,86,0.326,0.40299999999999997,0.252,0,,,162,,,730
NYM,NL,1962,948,40,0.318,0.361,0.24,0,,,161,,,617
NYY,AL,1962,680,96,0.337,0.426,0.267,1,2,1,162,,,817
PHI,NL,1962,759,81,0.33,0.39,0.26,0,,,161,,,705
PIT,NL,1962,626,93,0.321,0.39399999999999996,0.268,0,,,161,,,706
SFG,NL,1962,690,103,0.341,0.441,0.278,1,1,2,165,,,878
STL,NL,1962,664,84,0.335,0.39399999999999996,0.271,0,,,163,,,774
WSA,AL,1962,716,60,0.308,0.373,0.25,0,,,162,,,599
